time	Ix(U1:TE)/V(vin)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
7.999999773744548e-09	0.000000e+00
1.599999954748910e-08	0.000000e+00
3.199999909497819e-08	0.000000e+00
1.000000000000000e-02	0.000000e+00
1.009430388137698e-02	3.260829e-06
1.028291164413095e-02	2.250659e-04
1.066012716963887e-02	6.992249e-04
1.070261127343401e-02	9.694831e-04
1.078757948102430e-02	1.990555e-03
1.080882153292187e-02	2.329955e-03
1.081413204589626e-02	2.440647e-03
1.082475307184504e-02	2.694561e-03
1.084599512374261e-02	3.241193e-03
1.085130563671701e-02	3.387672e-03
1.085263326496060e-02	3.426939e-03
1.085528852144780e-02	3.507136e-03
1.085595233556960e-02	3.527416e-03
1.085727996381320e-02	3.568641e-03
1.085993522030040e-02	3.651817e-03
1.086059903442219e-02	3.672844e-03
1.086225856972669e-02	3.726003e-03
1.086292238384849e-02	3.747529e-03
1.086458191915299e-02	3.801628e-03
1.086524573327479e-02	3.823528e-03
1.086690526857929e-02	3.878561e-03
1.086756908270109e-02	3.900772e-03
1.086806694329243e-02	3.917514e-03
1.086873075741423e-02	3.939910e-03
1.086889671094468e-02	3.945522e-03
1.086922861800558e-02	3.956789e-03
1.086989243212738e-02	3.979366e-03
1.087005838565783e-02	3.985024e-03
1.087039029271873e-02	3.996381e-03
1.087105410684053e-02	4.019138e-03
1.087122006037098e-02	4.024840e-03
1.087155196743188e-02	4.036286e-03
1.087221578155368e-02	4.059220e-03
1.087238173508413e-02	4.064966e-03
1.087271364214503e-02	4.076499e-03
1.087337745626682e-02	4.099606e-03
1.087354340979727e-02	4.105396e-03
1.087387531685817e-02	4.117015e-03
1.087453913097997e-02	4.140292e-03
1.087470508451042e-02	4.146124e-03
1.087503699157132e-02	4.157827e-03
1.087570080569312e-02	4.181271e-03
1.087586675922357e-02	4.187144e-03
1.087619866628447e-02	4.198928e-03
1.087686248040627e-02	4.222533e-03
1.087702843393672e-02	4.228446e-03
1.087736034099762e-02	4.240310e-03
1.087802415511942e-02	4.264073e-03
1.087819010864986e-02	4.270025e-03
1.087852201571076e-02	4.281966e-03
1.087918582983256e-02	4.305882e-03
1.087935178336301e-02	4.311872e-03
1.087968369042391e-02	4.323887e-03
1.088034750454571e-02	4.347951e-03
1.088051345807616e-02	4.353978e-03
1.088084536513706e-02	4.366066e-03
1.088150917925886e-02	4.390275e-03
1.088167513278931e-02	4.396337e-03
1.088200703985021e-02	4.408496e-03
1.088267085397201e-02	4.432845e-03
1.088283680750246e-02	4.438943e-03
1.088316871456336e-02	4.451171e-03
1.088383252868515e-02	4.475659e-03
1.088399848221560e-02	4.481791e-03
1.088433038927650e-02	4.494089e-03
1.088499420339830e-02	4.518714e-03
1.088516015692875e-02	4.524880e-03
1.088549206398965e-02	4.537246e-03
1.088615587811145e-02	4.562009e-03
