time	Ix(U1:TE)/V(vin)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
7.999999773744548e-09	0.000000e+00
1.599999954748910e-08	0.000000e+00
3.199999909497819e-08	0.000000e+00
1.000000000000000e-02	0.000000e+00
1.000010000000000e-02	4.164665e-06
1.000030000000000e-02	1.277724e-04
1.000060000000000e-02	3.944100e-04
1.000065000000000e-02	6.138344e-04
1.000075000000000e-02	1.515645e-03
1.000080000000000e-02	2.464129e-03
1.000090000000000e-02	5.268886e-03
1.000091250000000e-02	5.763821e-03
1.000093750000000e-02	7.047429e-03
1.000095000000000e-02	7.781217e-03
1.000097500000000e-02	9.532710e-03
1.000100000000000e-02	1.148054e-02
1.000100250000000e-02	1.147751e-02
1.000100750000000e-02	1.147329e-02
1.000101750000000e-02	1.146893e-02
1.000103750000000e-02	1.146492e-02
1.000107750000000e-02	1.146112e-02
1.000115750000001e-02	1.145747e-02
1.000131750000001e-02	1.145394e-02
1.000163750000002e-02	1.145052e-02
1.000227750000004e-02	1.144677e-02
1.000243750000004e-02	1.144616e-02
1.000275750000005e-02	1.144532e-02
1.000339750000007e-02	1.144391e-02
1.000355750000007e-02	1.144361e-02
1.000387750000008e-02	1.144311e-02
1.000451750000010e-02	1.144221e-02
1.000467750000010e-02	1.144201e-02
1.000499750000011e-02	1.144166e-02
1.000563750000013e-02	1.144100e-02
1.000579750000014e-02	1.144085e-02
1.000611750000014e-02	1.144057e-02
1.000675750000016e-02	1.144005e-02
1.000691750000017e-02	1.143993e-02
1.000723750000018e-02	1.143971e-02
1.000787750000019e-02	1.143929e-02
1.000915750000023e-02	1.143854e-02
1.000947750000024e-02	1.143837e-02
1.001011750000026e-02	1.143806e-02
1.001139750000030e-02	1.143752e-02
1.001395750000037e-02	1.143661e-02
1.001907750000052e-02	1.143526e-02
1.002931750000081e-02	1.143342e-02
1.004979750000140e-02	1.143120e-02
1.009075750000258e-02	1.142872e-02
1.017267750000493e-02	1.142613e-02
1.033651750000964e-02	1.142350e-02
1.066419750001907e-02	1.142088e-02
1.131955750003791e-02	1.141831e-02
1.263027750007560e-02	1.141578e-02
1.302291178580068e-02	1.141519e-02
1.341554607152575e-02	1.141466e-02
1.380818035725082e-02	1.141418e-02
1.420081464297590e-02	1.141375e-02
1.459344892870097e-02	1.141338e-02
1.498608321442604e-02	1.141307e-02
1.537871750015111e-02	1.141281e-02
1.550671750015124e-02	1.141273e-02
1.576271750015150e-02	1.141259e-02
1.627471750015201e-02	1.141232e-02
1.729871750015304e-02	1.141182e-02
1.795299999999795e-02	1.141153e-02
1.809506214289973e-02	1.141147e-02
1.823712428580151e-02	1.141141e-02
1.837918642870330e-02	1.141135e-02
1.852124857160508e-02	1.141130e-02
1.866331071450686e-02	1.141124e-02
1.880537285740864e-02	1.141119e-02
1.894743500031042e-02	1.141114e-02
