time	V(n001)
0.000000000000000e+00	0.000000e+00
9.999999717180685e-10	0.000000e+00
1.999999943436137e-09	0.000000e+00
7.999999773744548e-09	0.000000e+00
1.599999954748910e-08	0.000000e+00
3.199999909497819e-08	0.000000e+00
9.989999999999999e-03	0.000000e+00
9.990099999999998e-03	-3.000000e-01
9.990299999999999e-03	-9.000000e-01
9.990700000000000e-03	-2.100000e+00
9.990737499999999e-03	-2.212500e+00
9.990812500000000e-03	-2.437500e+00
9.990831250000000e-03	-2.493750e+00
9.990868750000000e-03	-2.606250e+00
9.990943750000000e-03	-2.831250e+00
9.990950781250001e-03	-2.852344e+00
9.990964843750000e-03	-2.894531e+00
9.990992968750001e-03	-2.978906e+00
9.991000000000000e-03	-3.000000e+00
9.991005625000000e-03	-3.000000e+00
9.991016875000000e-03	-3.000000e+00
9.991039375000000e-03	-3.000000e+00
9.991084375000001e-03	-3.000000e+00
9.991174375000000e-03	-3.000000e+00
9.991354374999999e-03	-3.000000e+00
9.991714374999999e-03	-3.000000e+00
9.992434374999998e-03	-3.000000e+00
9.992614374999997e-03	-3.000000e+00
9.992974374999996e-03	-3.000000e+00
9.993694374999995e-03	-3.000000e+00
9.993874374999994e-03	-3.000000e+00
9.994234374999994e-03	-3.000000e+00
9.994954374999993e-03	-3.000000e+00
9.995134374999992e-03	-3.000000e+00
9.995494374999992e-03	-3.000000e+00
9.996214374999991e-03	-3.000000e+00
9.996394374999990e-03	-3.000000e+00
9.996754374999989e-03	-3.000000e+00
9.997474374999989e-03	-3.000000e+00
9.997654374999988e-03	-3.000000e+00
9.998014374999987e-03	-3.000000e+00
9.998734374999986e-03	-3.000000e+00
9.998999999999999e-03	-3.000000e+00
9.999099999999999e-03	-2.700000e+00
9.999299999999999e-03	-2.100000e+00
9.999700000000000e-03	-9.000000e-01
1.000000000000000e-02	0.000000e+00
1.999000000000000e-02	0.000000e+00
1.999010000000000e-02	-3.000000e-01
1.999030000000000e-02	-9.000000e-01
1.999070000000000e-02	-2.100000e+00
1.999100000000000e-02	-3.000000e+00
1.999108000000000e-02	-3.000000e+00
1.999124000000000e-02	-3.000000e+00
1.999156000000000e-02	-3.000000e+00
1.999219999999999e-02	-3.000000e+00
1.999347999999999e-02	-3.000000e+00
1.999603999999999e-02	-3.000000e+00
1.999900000000000e-02	-3.000000e+00
1.999910000000000e-02	-2.700000e+00
1.999930000000000e-02	-2.100000e+00
1.999970000000000e-02	-9.000000e-01
2.000000000000000e-02	0.000000e+00
2.999000000000000e-02	0.000000e+00
2.999010000000000e-02	-3.000000e-01
2.999030000000000e-02	-9.000000e-01
2.999070000000000e-02	-2.100000e+00
2.999100000000000e-02	-3.000000e+00
2.999108000000000e-02	-3.000000e+00
2.999124000000000e-02	-3.000000e+00
2.999156000000000e-02	-3.000000e+00
2.999220000000000e-02	-3.000000e+00
2.999348000000000e-02	-3.000000e+00
